dep,entry_id,failed_dimensions,phraseology_score,justification
GND,gnd_038,phraseology(2),2,"La fraseología es incorrecta: el distintivo de llamada debe ir al principio y la respuesta a una instrucción de 'standby' es 'standing by', no una repetición de la instrucción del controlador."
GND,gnd_042,completeness;no_hallucination;phraseology(2),2,El piloto inventó una instrucción de rodaje ('taxi via Lima') en lugar de colacionar la orientación del retroceso ('tail towards taxiway Lima').
GND,gnd_046,completeness;no_hallucination;phraseology(2),2,La colación omite la instrucción de ceder el paso y añade la palabra 'runway' que no fue instruida.
GND,gnd_047,completeness,3,La colación omite la restricción 'tail to the south' y coloca el indicativo al principio en lugar de al final.
GND,gnd_048,no_hallucination;phraseology(2),2,El piloto añadió la palabra 'runway' que no estaba en la instrucción del controlador y colocó el distintivo de llamada al principio de la colación.
GND,gnd_050,completeness;no_hallucination;phraseology(2),2,El piloto omite la aprobación de arranque y responde con una instrucción de rodaje inventada en lugar de colacionar la dirección de retroceso.
GND,gnd_052,no_hallucination;phraseology(2),2,El piloto añadió incorrectamente la palabra 'runway' en la colación y colocó el indicativo al principio en lugar de al final.
GND,gnd_054,no_hallucination;phraseology(2),2,El piloto añade la palabra 'runway' que no estaba en la instrucción y coloca el indicativo al principio de la colación en lugar de al final.
GND,gnd_057,values_correct;no_hallucination;phraseology(2),2,La colación añade incorrectamente la palabra 'runway' antes del punto de espera Sierra Two y sitúa el distintivo de llamada al principio en lugar de al final.
GND,gnd_058,values_correct;no_hallucination,3,"La colación añade incorrectamente la palabra 'runway' antes del punto de espera, que no estaba en la instrucción original."
GND,gnd_061,phraseology(2),2,"La llamada debe ir al final de la colación, no al principio, y se repite información superflua de la instrucción condicional."
GND,gnd_065,no_hallucination,3,La colación añade la palabra 'runway' que no fue instruida por el controlador.
GND,gnd_067,completeness,3,El collationnement omite la instrucción de posición de la cola 'tail towards stand Hotel five'.
GND,gnd_068,completeness,3,La colación omite la aprobación para la puesta en marcha de motores ('and start') y coloca el distintivo de llamada al principio en lugar de al final.
GND,gnd_070,completeness,3,La colación omite la aprobación de puesta en marcha ('and start') y coloca el distintivo de llamada al principio en lugar de al final.
GND,gnd_080,completeness,3,La colación omite la instrucción condicional 'expedite' (acelere).
GND,gnd_085,completeness,3,La colación omite la instrucción de seguir al Iberia que le precede y coloca el distintivo al principio en lugar de al final.
GND,gnd_087,no_hallucination;phraseology(2),2,La colación añade la palabra 'runway' que no estaba en la instrucción y coloca el indicativo al principio en lugar de al final.
GND,gnd_088,phraseology(2),2,El agente utilizó fraseología de controlador al colocar el indicativo al principio y repetir la instrucción en lugar de utilizar una colación estándar de piloto.
GND,gnd_090,no_hallucination,3,"La colación añade la palabra 'runway', que no estaba en la instrucción del controlador, y coloca el distintivo de llamada al principio en lugar de al final."
GND,gnd_096,completeness;no_hallucination,3,La colación omite la instrucción de ceder el paso y añade la palabra 'runway' que no fue transmitida.
GND,gnd_098,completeness;no_hallucination;phraseology(2),2,La colación omite la instrucción de seguir al Lufthansa y añade incorrectamente la palabra 'runway' antes del punto de espera.
GND,gnd_100,completeness,3,El collationamiento omite la aprobación de puesta en marcha ('and start') y coloca el distintivo de llamada al principio en lugar de al final.
TWR,twr_003,phraseology(2),2,La frecuencia no se colacionó pronunciando los dígitos individualmente y se repitió la instrucción del controlador en lugar de solo el valor.
TWR,twr_004,completeness,3,La colación omite la condición obligatoria 'behind the Swiss on short final'.
TWR,twr_010,phraseology(2),2,La colación no pronuncia los dígitos de la frecuencia y del indicativo individualmente y utiliza fraseología de controlador.
TWR,twr_024,completeness,3,La colación omite la instrucción condicional 'behind the Iberia on final' y la especificación 'behind'.
TWR,twr_026,phraseology(2),2,La colación no sigue la fraseología estándar al no pronunciar los números dígito por dígito y al usar el imperativo 'Hold short' en lugar de 'Holding short'.
TWR,twr_028,values_correct;no_hallucination;phraseology(2),2,El piloto colacionó una frecuencia incorrecta (121.655 en lugar de 121.65).
TWR,twr_031,phraseology(2),2,"La colación no utiliza la fraseología fonética correcta para los números, diciendo '18L' y '8560' en lugar de deletrear los dígitos."
TWR,twr_033,phraseology(2),2,La colación usa fraseología de controlador ('Contact Ground') y no lee la frecuencia dígito por dígito como es requerido.
TWR,twr_037,completeness,3,La colación omite la instrucción clave de despegue 'inmediato'.
TWR,twr_040,phraseology(2),2,La colación utilizó dígitos en lugar de la pronunciación fonética correcta para los números del indicativo y la pista.
TWR,twr_046,completeness,4,El piloto no colacionó la instrucción de cambio de frecuencia.
TWR,twr_050,phraseology(2),2,La frecuencia no se colaciona dígito por dígito y se repite la instrucción del controlador en lugar de usar fraseología de piloto.
TWR,twr_051,phraseology(2),2,La colación falla al no pronunciar los dígitos de la pista y del indicativo de forma individual.
TWR,twr_054,completeness,3,La colación omite la parte condicional de la autorización ('detrás del Vueling en final corta').
TWR,twr_060,phraseology(2),2,El agente leyó la frecuencia como un número único en lugar de con los dígitos individuales.
TWR,twr_061,phraseology(2),2,La fraseología es incorrecta; el piloto debe usar 'lining up' en lugar de repetir la instrucción del controlador 'line up and wait'.
TWR,twr_074,completeness,3,La colación omite la condición obligatoria 'behind the Lufthansa on final'.
TWR,twr_078,phraseology(2),2,"La colación utiliza fraseología de controlador ('Contact Ground') en lugar de la fraseología de piloto, que consiste únicamente en repetir la frecuencia."
TWR,twr_080,phraseology(2),2,El indicativo se colacionó como '13H' en lugar de la fraseología estándar 'uno tres Hotel'.
TWR,twr_087,completeness;no_hallucination;phraseology(2),2,"La colación omite la instrucción 'inmediato', introduce la frase no emitida 'autorizado para despegue' y lee incorrectamente los dígitos del indicativo."
TWR,twr_091,no_hallucination,3,"La colación incluye incorrectamente la pista, que solo era parte de la información de tráfico, y además la lee con una fraseología no estándar."
TWR,twr_096,completeness,4,La colación omite la frecuencia de contacto con Aproximación.
TWR,twr_098,phraseology(2),2,"El piloto no deletreó los números individualmente en la colación (pista 'tres dos izquierda', indicativo 'siete nueve ocho')."
