dep,entry_id,session_id,atc_text,expected_readback,agent_reply,structured_data,status,agent_latency_s,judge_latency_s,values_correct,completeness,no_hallucination,phraseology_score,overall,justification,error
DEL,del_011,judge-del-del_011-82d2ff,"Ryanair six six Golf, cleared to Palma de Mallorca via the DVOR one FOXTROT departure, initial climb five thousand feet, squawk three three two one, QNH one zero one three, runway three two right.","Cleared to Palma de Mallorca via DVOR one FOXTROT, initial climb five thousand, squawk three three two one, QNH one zero one three, runway three two right, Ryanair six six Golf.","Cleared to Palma de Mallorca via the DVOR one FOXTROT departure, maintain 5000 feet, squawk 3321, QNH 1013, Ryanair 66 Golf.","{""aircraft_registration"": ""RYR66G"", ""squawk"": 3321, ""initial_altitude"": 5000, ""instrumental_departure"": ""DVOR1F"", ""runway_in_use"": ""32R"", ""altimeter"": 1013.0, ""destination_icao"": ""LEPA"", ""clearance_text"": ""Cleared to Palma de Mallorca via the DVOR one FOXTROT departure, maintain 5000 feet, squawk 3321, QNH 1013, Ryanair 66 Golf.""}",200,1.442,9.82,PASS,FAIL,PASS,3,FAIL,"La colación omite la pista asignada, que es un elemento obligatorio de la autorización.",
DEL,del_012,judge-del-del_012-5d166f,"Lufthansa three seven two, readback correct. Contact Ground when ready on one two one decimal six. Good day.","Contact Ground on one two one decimal six, Lufthansa three seven two. Good day.","Contacting Ground on one two one decimal six, good day, Lufthansa three seven two.",null,200,1.035,8.256,PASS,PASS,PASS,5,PASS,La colación de la frecuencia es correcta y la fraseología es impecable.,
DEL,del_013,judge-del-del_013-958034,"Aer Lingus seven eight five, cleared to Dublin via the BELEN one GOLF departure, initial climb five thousand feet, squawk one four two three, QNH one zero one four, runway three two left.","Cleared to Dublin via BELEN one GOLF, initial climb five thousand, squawk one four two three, QNH one zero one four, runway three two left, Aer Lingus seven eight five.","Cleared to Dublin via BELEN1G departure, maintain 5000 feet, squawk 1423, QNH 1014, runway 32L, Aer Lingus 785.","{""aircraft_registration"": ""EIN785"", ""squawk"": 1423, ""initial_altitude"": 5000, ""instrumental_departure"": ""BELEN1G"", ""runway_in_use"": ""32L"", ""altimeter"": 1014.0, ""destination_icao"": ""EIDW"", ""clearance_text"": ""Cleared to Dublin via BELEN1G departure, maintain 5000 feet, squawk 1423, QNH 1014, runway 32L, Aer Lingus 785.""}",200,1.354,10.085,PASS,PASS,PASS,3,PASS,"La colación es correcta en sus valores, pero la fraseología no es estándar al leer los dígitos agrupados en lugar de individualmente y al usar 'maintain' en lugar de 'climb'.",
DEL,del_014,judge-del-del_014-0a3a12,"Aer Lingus seven eight five, readback correct. Contact Ground on one two one decimal six five five when ready.","One two one decimal six five five, Aer Lingus seven eight five.","Contacting Ground on 121.655, Aer Lingus 785.",null,200,0.927,11.113,PASS,PASS,PASS,4,PASS,"La colación es correcta, aunque la fraseología 'Contacting Ground on...' es ligeramente no estándar pero aceptable.",
DEL,del_015,judge-del-del_015-8a445e,"Norwegian three four two, cleared to Oslo via the NINIX one WHISKEY departure, initial climb six thousand feet, squawk three one two four, QNH one zero one six, runway three two right.","Cleared to Oslo via NINIX one WHISKEY, initial climb five thousand, squawk three one two four, QNH one zero one six, runway three two right, Norwegian three four two.","Cleared to Oslo via NINIX 1 WHISKEY departure, maintain 6000 feet, squawk 3124, QNH 1016, runway 32R, Norwegian 342.","{""aircraft_registration"": ""N342"", ""squawk"": 3124, ""initial_altitude"": 6000, ""instrumental_departure"": ""NINIX 1 WHISKEY"", ""runway_in_use"": ""32R"", ""altimeter"": 1016.0, ""destination_icao"": ""ENGM"", ""clearance_text"": ""Cleared to Oslo via NINIX 1 WHISKEY departure, maintain 6000 feet, squawk 3124, QNH 1016, runway 32R, Norwegian 342.""}",200,1.526,16.079,PASS,PASS,PASS,3,PASS,La colación no lee los dígitos del código transpondedor y del QNH de forma individual.,
DEL,del_016,judge-del-del_016-5c6e95,"Norwegian three four two, negative, initial climb six thousand feet.","Initial climb six thousand feet, Norwegian three four two.","Correction, maintain 6000 feet, Norwegian 342.",null,200,0.856,12.525,PASS,PASS,FAIL,2,FAIL,"El piloto usó la palabra 'Correction', que es fraseología de controlador, y cambió la instrucción de 'initial climb' a 'maintain'.",
DEL,del_017,judge-del-del_017-5bef7a,"TAP nine one one, cleared to Lisbon via the LARPA one FOXTROT departure, initial climb five thousand feet, squawk four three two one, QNH one zero one two, runway three two left.","Cleared to Lisbon via LARPA one FOXTROT, initial climb five thousand, squawk four three two one, QNH one zero one two, runway three two left, TAP nine one one.","Cleared to Lisbon via LARPA1F departure, maintain 5000 feet, squawk 4321, QNH 1012, runway 32L, TAP911.","{""aircraft_registration"": ""TAP911"", ""squawk"": 4321, ""initial_altitude"": 5000, ""instrumental_departure"": ""LARPA1F"", ""runway_in_use"": ""32L"", ""altimeter"": 1012.0, ""destination_icao"": ""LPPT"", ""clearance_text"": ""Cleared to Lisbon via LARPA1F departure, maintain 5000 feet, squawk 4321, QNH 1012, runway 32L, TAP911.""}",200,1.663,8.996,PASS,PASS,PASS,3,PASS,"El piloto no leyó los dígitos del código transpondedor y del QNH individualmente, sino como números completos.",
DEL,del_018,judge-del-del_018-d2c028,"TAP nine one one, readback correct. Contact Ground when ready on one two one decimal six.","Contact Ground on one two one decimal six, TAP nine one one.","Contacting Ground on one two one decimal six, TAP nine one one.",null,200,1.087,7.118,PASS,PASS,PASS,5,PASS,La colación es correcta y utiliza fraseología estándar.,
DEL,del_019,judge-del-del_019-fd4127,"Transavia five six zero, cleared to Amsterdam via the BELEN one GOLF departure, initial climb five thousand feet, squawk two four one three, QNH one zero one three, runway three two left.","Cleared BELEN one GOLF, five thousand, squawk two four one three, QNH one zero one three, runway three two left, Transavia five six zero.","Cleared to Amsterdam via BELEN1G departure, maintain 5000 feet, squawk 2413, QNH 1013, runway 32L, Transavia 560.","{""aircraft_registration"": ""Transavia 560"", ""squawk"": 2413, ""initial_altitude"": 5000, ""instrumental_departure"": ""BELEN1G"", ""runway_in_use"": ""32L"", ""altimeter"": 1013.0, ""destination_icao"": ""EHAM"", ""clearance_text"": ""Cleared to Amsterdam via BELEN1G departure, maintain 5000 feet, squawk 2413, QNH 1013, runway 32L, Transavia 560.""}",200,1.533,12.199,PASS,PASS,PASS,3,PASS,"La colación es correcta, aunque la fraseología podría mejorarse usando 'climb' en lugar de 'maintain' y pronunciando los dígitos individualmente.",
DEL,del_020,judge-del-del_020-a0e599,"Santiago Delivery, Volotea four five one, stand three three, information Charlie, request clearance to Bilbao.","Volotea four five one, cleared to Bilbao via DVOR one FOXTROT departure, initial climb five thousand feet, squawk three two one four, QNH one zero one five, runway three two right.","Santiago Delivery, Volotea four five one, request IFR clearance to Bilbao, Volotea four five one.",null,200,0.837,35.294,N/A,N/A,FAIL,1,FAIL,La respuesta del agente ignora la transmisión del controlador y en su lugar inicia una nueva solicitud de autorización con fraseología incorrecta.,
DEL,del_021,judge-del-del_021-1b90b9,"Finnair three zero two, cleared to Helsinki via the RODAS one TANGO departure, initial climb six thousand feet, squawk one two three four, QNH one zero one one, runway one eight left.","Cleared to Helsinki via RODAS one TANGO, initial climb six thousand, squawk one two three four, QNH one zero one one, runway one eight left, Finnair three zero two.","Cleared to Helsinki via the RODAS one TANGO departure, maintain 6000 feet, squawk 1234, QNH 1011, Finnair three zero two.","{""aircraft_registration"": ""FIN302"", ""squawk"": 1234, ""initial_altitude"": 6000, ""instrumental_departure"": ""RODAS1T"", ""runway_in_use"": ""18L"", ""altimeter"": 1011.0, ""destination_icao"": ""EFHK"", ""clearance_text"": ""Cleared to Helsinki via the RODAS one TANGO departure, maintain 6000 feet, squawk 1234, QNH 1011, Finnair three zero two.""}",200,1.346,11.232,PASS,FAIL,PASS,3,FAIL,"La colación omite la pista asignada, que es un elemento obligatorio de la autorización.",
DEL,del_022,judge-del-del_022-31fd55,"Finnair three zero two, readback correct. Contact Ground on one two one decimal six when ready. Good day.","Contact Ground on one two one decimal six, Finnair three zero two. Good day.","Contacting Ground on one two one decimal six, Finnair three zero two.",null,200,1.026,4.98,PASS,PASS,PASS,5,PASS,La colación es correcta y utiliza fraseología estándar.,
DEL,del_023,judge-del-del_023-406190,"KLM five five zero, readback correct. Contact Ground when ready on one two one decimal six five five.","One two one decimal six five five, KLM five five zero.","Contacting Ground on one two one decimal six five five, KLM five five zero.",null,200,1.071,8.795,PASS,PASS,PASS,4,PASS,"La fraseología 'Contacting Ground on' no es estándar, aunque la colación es correcta.",
DEL,del_024,judge-del-del_024-608647,"Turkish four three one, readback correct. Contact Ground on one two one decimal six five five when ready.","One two one decimal six five five, Turkish four three one.","Contacting Ground on one two one decimal six five five, Turkish four three one.",null,200,0.996,7.305,PASS,PASS,PASS,4,PASS,"La fraseología 'Contacting Ground on' no es estándar, pero la frecuencia colacionada es correcta.",
DEL,del_025,judge-del-del_025-138ff5,"Condor six two three, cleared to Frankfurt via the NINIX one WHISKEY departure, initial climb five thousand feet, squawk four one two three, QNH one zero one three, runway three two left.","Cleared to Frankfurt via NINIX one WHISKEY, initial climb five thousand, squawk four one two three, QNH one zero one three, runway three two left, Condor six two three.","Cleared to Frankfurt via NINIX 1 WHISKEY departure, maintain 5000 feet, squawk 4123, QNH 1013, runway 32L, Condor 623.","{""aircraft_registration"": ""Condor 623"", ""squawk"": 4123, ""initial_altitude"": 5000, ""instrumental_departure"": ""NINIX 1 WHISKEY"", ""runway_in_use"": ""32L"", ""altimeter"": 1013.0, ""destination_icao"": ""EDDF"", ""clearance_text"": ""Cleared to Frankfurt via NINIX 1 WHISKEY departure, maintain 5000 feet, squawk 4123, QNH 1013, runway 32L, Condor 623.""}",200,1.774,13.891,PASS,PASS,PASS,3,PASS,"La colación no pronuncia los dígitos individualmente para el transpondedor, QNH, pista e indicativo, y abrevia el designador de pista.",
DEL,del_026,judge-del-del_026-2d331b,"Condor six two three, readback correct. Contact Ground when ready on one two one decimal six.","Contact Ground on one two one decimal six, Condor six two three.","Contacting Ground on one two one decimal six, Condor six two three.",null,200,0.865,10.473,PASS,PASS,PASS,4,PASS,"La colación es correcta, aunque el uso de 'Contacting' en lugar de 'Contact' es una pequeña desviación de la fraseología estándar.",
DEL,del_027,judge-del-del_027-dff078,"Wizz Air two three four, cleared to Budapest via the LARPA one FOXTROT departure, initial climb six thousand feet, squawk four three two one, QNH one zero one seven, runway three two left.","Cleared to Budapest via LARPA one FOXTROT, initial climb six thousand, squawk four three two one, QNH one zero one seven, runway three two left, Wizz Air two three four.","Cleared to Budapest via LARPA1F departure, maintain 6000 feet, squawk 4321, QNH 1017, Wizz Air 234.","{""aircraft_registration"": ""Wizz Air 234"", ""squawk"": 4321, ""initial_altitude"": 6000, ""instrumental_departure"": ""LARPA1F"", ""runway_in_use"": ""32L"", ""altimeter"": 1017.0, ""destination_icao"": ""LHBP"", ""clearance_text"": ""Cleared to Budapest via LARPA1F departure, maintain 6000 feet, squawk 4321, QNH 1017, Wizz Air 234.""}",200,1.389,10.619,PASS,FAIL,PASS,3,FAIL,"La colación omite la pista en uso, que es un elemento obligatorio de la autorización de salida.",
DEL,del_028,judge-del-del_028-64bccf,"Wizz Air two three four, readback correct. Contact Ground on one two one decimal six five five when ready. Good day.","One two one decimal six five five, Wizz Air two three four. Good day.","Contacting Ground on one two one decimal six five five, Wizz Air two three four.",null,200,1.32,7.088,PASS,PASS,PASS,5,PASS,La colación de la frecuencia es correcta y la fraseología es excelente.,
DEL,del_029,judge-del-del_029-be56e1,"Santiago Delivery, Jet2 seven eight nine, stand two two, information Foxtrot, request clearance to Manchester.","Jet2 seven eight nine, cleared to Manchester via FORNO one FOXTROT departure, initial climb five thousand feet, squawk one three two four, QNH one zero one one, runway three two right.","Santiago Delivery, Jet2 seven eight nine, request IFR clearance to Manchester, information Foxtrot, Jet2 seven eight nine.",null,200,1.148,15.871,N/A,FAIL,PASS,3,FAIL,La solicitud del agente omite el puesto de estacionamiento y repite incorrectamente el indicativo al final de la transmisión.,
DEL,del_030,judge-del-del_030-8ab25c,"Jet2 seven eight nine, readback correct. Contact Ground when ready on one two one decimal six. Good day.","Contact Ground on one two one decimal six, Jet2 seven eight nine. Good day.","Contacting Ground on one two one decimal six, Jet2 seven eight nine.",null,200,0.785,6.596,PASS,PASS,PASS,5,PASS,La colación es correcta.,
DEL,del_031,judge-del-del_031-e5344b,"EasyJet eight five Whiskey zero, cleared to London Gatwick via the FORNO one FOXTROT departure, initial climb six thousand feet, squawk one two three four, QNH one zero one three, runway three two right.","Cleared to London Gatwick via FORNO one FOXTROT, initial climb six thousand, squawk one two three four, QNH one zero one three, runway three two right, EasyJet eight five Whiskey zero.","Cleared to London Gatwick via FORNO one FOXTROT departure, maintain 6000 feet, squawk 1234, QNH 1013, EasyJet eight five Whiskey zero.","{""aircraft_registration"": ""EasyJet eight five Whiskey zero"", ""squawk"": 1234, ""initial_altitude"": 6000, ""instrumental_departure"": ""FORNO one FOXTROT"", ""runway_in_use"": ""32R"", ""altimeter"": 1013.0, ""destination_icao"": ""EGKK"", ""clearance_text"": ""Cleared to London Gatwick via FORNO one FOXTROT departure, maintain 6000 feet, squawk 1234, QNH 1013, EasyJet eight five Whiskey zero.""}",200,1.494,10.499,PASS,FAIL,PASS,3,FAIL,"La colación omite la pista en uso, que es un elemento obligatorio de la autorización.",
DEL,del_032,judge-del-del_032-55f459,"EasyJet eight five Whiskey zero, readback correct. Contact Ground on one two one decimal six when ready.","Contact Ground on one two one decimal six, EasyJet eight five Whiskey zero.","Contacting Ground on 121.6, EasyJet 85W0.",null,200,0.656,14.643,PASS,PASS,PASS,2,FAIL,La fraseología es incorrecta al usar 'Contacting' y al no pronunciar el indicativo ('85W0') de forma reglamentaria.,
DEL,del_033,judge-del-del_033-e978c6,"Vueling one two three, cleared to Rome Fiumicino via the NINIX one WHISKEY departure, initial climb six thousand feet, squawk three two one four, QNH one zero one five, runway three two left.","Cleared to Rome Fiumicino via NINIX one WHISKEY, initial climb five thousand, squawk three two one four, QNH one zero one five, runway three two left, Vueling one two three.","Cleared to Rome Fiumicino via NINIX 1W departure, maintain 6000 feet, squawk 3214, QNH 1015, runway 32L, Vueling 123.","{""aircraft_registration"": ""Vueling 123"", ""squawk"": 3214, ""initial_altitude"": 6000, ""instrumental_departure"": ""NINIX 1W"", ""runway_in_use"": ""32L"", ""altimeter"": 1015.0, ""destination_icao"": ""LIRF"", ""clearance_text"": ""Cleared to Rome Fiumicino via NINIX 1W departure, maintain 6000 feet, squawk 3214, QNH 1015, runway 32L, Vueling 123.""}",200,1.634,13.114,PASS,PASS,PASS,3,PASS,"La colación es correcta, pero la fraseología no es estándar al usar '1W' en lugar de 'one WHISKEY' y no pronunciar los números dígito por dígito.",
DEL,del_034,judge-del-del_034-5ecd0b,"Vueling one two three, negative, initial climb six thousand feet.","Initial climb six thousand feet, Vueling one two three.","Negative, maintain six thousand feet, Vueling one two three.",null,200,1.34,11.147,PASS,FAIL,PASS,2,FAIL,"La colación omite la instrucción 'initial climb' y la sustituye por 'maintain', además de usar la palabra 'negative' que es fraseología de controlador.",
DEL,del_035,judge-del-del_035-74e92a,"Ryanair four seven three, negative, squawk two three four one.","Squawk two three four one, Ryanair four seven three.","Squawk two three four one, Ryanair four seven three.",null,200,1.138,7.579,PASS,PASS,PASS,5,PASS,La colación es correcta y sigue la fraseología estándar de la OACI.,
DEL,del_036,judge-del-del_036-cf7ca6,"Ryanair four seven three, readback correct. Contact Ground on one two one decimal six five five when ready.","One two one decimal six five five, Ryanair four seven three.","Contacting Ground on one two one decimal six five five, Ryanair four seven three.",null,200,1.072,8.813,PASS,PASS,PASS,4,PASS,"La fraseología 'Contacting Ground on' no es estándar, pero la colación es correcta.",
DEL,del_037,judge-del-del_037-d1b7dc,"Santiago Delivery, Iberia three four five, Airbus three twenty one at stand five five, information Hotel, request clearance to Madrid.","Iberia three four five, cleared to Madrid via LARPA one FOXTROT departure, initial climb five thousand feet, squawk two one three four, QNH one zero one four, runway three two left.","Santiago Delivery, Iberia three four five, request IFR clearance to Madrid, information Hotel, Iberia three four five.",null,200,0.99,27.41,N/A,FAIL,PASS,3,FAIL,La llamada inicial omitió la posición de la aeronave en el aeródromo (puesto de estacionamiento).,
DEL,del_038,judge-del-del_038-b37cdd,"Iberia three four five, readback correct. Contact Ground when ready on one two one decimal six.","Contact Ground on one two one decimal six, Iberia three four five.","Contacting Ground on one two one decimal six, Iberia three four five.",null,200,0.925,7.172,PASS,PASS,PASS,5,PASS,"La colación es correcta, repitiendo la frecuencia con fraseología estándar.",
DEL,del_039,judge-del-del_039-e581f1,"Aer Lingus seven zero two, cleared to Cork via the BELEN one GOLF departure, initial climb five thousand feet, squawk one four three two, QNH one zero one six, runway three two left.","Cleared BELEN one GOLF, five thousand, squawk one four three two, QNH one zero one six, runway three two left, Aer Lingus seven zero two.","Cleared to Cork via BELEN1G departure, maintain 5000 feet, squawk 1432, QNH 1016, runway 32L, Aer Lingus 702.","{""aircraft_registration"": ""EIN702"", ""squawk"": 1432, ""initial_altitude"": 5000, ""instrumental_departure"": ""BELEN1G"", ""runway_in_use"": ""32L"", ""altimeter"": 1016.0, ""destination_icao"": ""EICK"", ""clearance_text"": ""Cleared to Cork via BELEN1G departure, maintain 5000 feet, squawk 1432, QNH 1016, runway 32L, Aer Lingus 702.""}",200,1.378,15.307,PASS,PASS,PASS,4,PASS,"La colación es correcta, aunque el uso de 'maintain' es una pequeña imperfección fraseológica, ya que es más propio del controlador.",
DEL,del_040,judge-del-del_040-bda7e1,"Aer Lingus seven zero two, readback correct. Contact Ground on one two one decimal six five five when ready. Good day.","One two one decimal six five five, Aer Lingus seven zero two. Good day.","Contacting Ground on 121.655, good day, Aer Lingus 702.",null,200,1.515,7.158,PASS,PASS,PASS,3,PASS,La fraseología es incorrecta al no leer los dígitos de la frecuencia individualmente y al usar la frase no estándar 'Contacting Ground on'.,
DEL,del_041,judge-del-del_041-0ed2b9,"Santiago Delivery, Norwegian five six one, Boeing seven three seven at stand three eight, information India, request IFR clearance to Bergen, one four zero persons on board.","Norwegian five six one, cleared to Bergen via NINIX one WHISKEY departure, initial climb six thousand feet, squawk three four two one, QNH one zero one two, runway three two right.","Santiago Delivery, Norwegian five six one, request IFR clearance to Bergen, Norwegian five six one.",null,200,0.878,17.53,N/A,N/A,FAIL,1,FAIL,"El agente no realizó una colación, sino que repitió la solicitud de autorización inicial, lo cual es una acción incorrecta en el contexto de la conversación.",
DEL,del_042,judge-del-del_042-6ade54,"Norwegian five six one, readback correct. Contact Ground when ready on one two one decimal six. Good day.","Contact Ground on one two one decimal six, Norwegian five six one. Good day.","One two one decimal six, Norwegian five six one.",null,200,1.463,11.594,PASS,FAIL,PASS,4,FAIL,"La colación omite la dependencia a contactar ('Ground'), que es una parte obligatoria de la instrucción.",
DEL,del_043,judge-del-del_043-8c1446,"Air France two one zero, cleared to Frankfurt via the NINIX one WHISKEY departure, initial climb five thousand feet, squawk four three two one, QNH one zero one two, runway one eight left.","Cleared to Frankfurt via NINIX one WHISKEY, initial climb five thousand, squawk four three two one, QNH one zero one two, runway one eight left, Air France two one zero.","Cleared to Frankfurt via the NINIX one WHISKEY departure, maintain 5000 feet, squawk 4321, QNH 1012, runway 18 left, Air France two one zero.","{""aircraft_registration"": ""Air France 210"", ""squawk"": 4321, ""initial_altitude"": 5000, ""instrumental_departure"": ""NINIX 1 WHISKEY"", ""runway_in_use"": ""18L"", ""altimeter"": 1012.0, ""destination_icao"": ""EDDF"", ""clearance_text"": ""Cleared to Frankfurt via the NINIX one WHISKEY departure, maintain 5000 feet, squawk 4321, QNH 1012, runway 18 left, Air France two one zero.""}",200,1.596,9.08,PASS,PASS,PASS,3,PASS,"La colación agrupa los dígitos del transpondedor, QNH y pista en lugar de leerlos individualmente.",
