dep,entry_id,atc_text,expected_readback,agent_reply,judge_values_correct,judge_completeness,judge_no_hallucination,judge_phraseology_score,judge_overall,judge_justification,human_verdict,human_notes
DEL,del_032,"EasyJet eight five Whiskey zero, readback correct. Contact Ground on one two one decimal six when ready.","Contact Ground on one two one decimal six, EasyJet eight five Whiskey zero.","Contacting Ground on 121.6, EasyJet 85W0.",PASS,PASS,PASS,2,FAIL,La fraseología es incorrecta al usar 'Contacting' y al no pronunciar el indicativo ('85W0') de forma reglamentaria.,,
DEL,del_034,"Vueling one two three, negative, initial climb six thousand feet.","Initial climb six thousand feet, Vueling one two three.","Negative, maintain six thousand feet, Vueling one two three.",PASS,FAIL,PASS,2,FAIL,"La colación omite la instrucción 'initial climb' y la sustituye por 'maintain', además de usar la palabra 'negative' que es fraseología de controlador.",,
DEL,del_037,"Santiago Delivery, Iberia three four five, Airbus three twenty one at stand five five, information Hotel, request clearance to Madrid.","Iberia three four five, cleared to Madrid via LARPA one FOXTROT departure, initial climb five thousand feet, squawk two one three four, QNH one zero one four, runway three two left.","Santiago Delivery, Iberia three four five, request IFR clearance to Madrid, information Hotel, Iberia three four five.",N/A,FAIL,PASS,3,FAIL,La llamada inicial omitió la posición de la aeronave en el aeródromo (puesto de estacionamiento).,,
DEL,del_041,"Santiago Delivery, Norwegian five six one, Boeing seven three seven at stand three eight, information India, request IFR clearance to Bergen, one four zero persons on board.","Norwegian five six one, cleared to Bergen via NINIX one WHISKEY departure, initial climb six thousand feet, squawk three four two one, QNH one zero one two, runway three two right.","Santiago Delivery, Norwegian five six one, request IFR clearance to Bergen, Norwegian five six one.",N/A,N/A,FAIL,1,FAIL,"El agente no realizó una colación, sino que repitió la solicitud de autorización inicial, lo cual es una acción incorrecta en el contexto de la conversación.",,
DEL,del_042,"Norwegian five six one, readback correct. Contact Ground when ready on one two one decimal six. Good day.","Contact Ground on one two one decimal six, Norwegian five six one. Good day.","One two one decimal six, Norwegian five six one.",PASS,FAIL,PASS,4,FAIL,"La colación omite la dependencia a contactar ('Ground'), que es una parte obligatoria de la instrucción.",,
DEL,del_045,"Austrian seven eight two, cleared to Zurich via the RODAS one TANGO departure, initial climb five thousand feet, squawk two one three four, QNH one zero one one, runway three two right.","Cleared to Zurich via RODAS one TANGO, initial climb five thousand, squawk two one three four, QNH one zero one one, runway three two right, Austrian seven eight two.","Cleared to Zurich via RODAS1T departure, maintain 5000 feet, squawk 2134, QNH 1011, runway 32R, Austrian 782.",PASS,PASS,PASS,2,FAIL,"La colación agrupa los números del código transpondedor, QNH, pista y distintivo de llamada en lugar de pronunciarlos dígito por dígito.",,
DEL,del_049,"Croatia five one two, cleared to Frankfurt via the NINIX one WHISKEY departure, initial climb five thousand feet, squawk four one two three, QNH one zero one three, runway three two left.","Cleared to Frankfurt via NINIX one WHISKEY, initial climb five thousand, squawk four one two three, QNH one zero one three, runway three two left, Croatia five one two.","Cleared to Frankfurt via NINIX 1W departure, maintain 5000 feet, squawk 4123, QNH 1013, Croatia 512.",PASS,FAIL,PASS,3,FAIL,"La colación omite la pista asignada, que es un elemento de lectura obligatoria.",,
DEL,del_053,"Iberia eight seven five Charlie, cleared to Madrid via the LARPA one FOXTROT departure, initial climb six thousand feet, squawk three one four five, QNH one zero one zero, runway three two right.","Cleared to Madrid via LARPA one FOXTROT, initial climb six thousand, squawk three one four five, QNH one zero one zero, runway three two right, Iberia eight seven five Charlie.","Cleared to Madrid via LARPA1F departure, maintain 6000 feet, squawk 3145, QNH 1010, Iberia 875C.",PASS,FAIL,PASS,3,FAIL,"La colación omite la pista de salida, que es un elemento obligatorio de la autorización de salida.",,
DEL,del_056,"Speedbird three one two, cleared to London Heathrow via the BELEN one GOLF departure, initial climb six thousand feet, squawk two three six seven, QNH one zero zero nine.","Cleared to London Heathrow via BELEN one GOLF, initial climb six thousand, squawk two three six seven, QNH one zero zero nine, Speedbird three one two.","Cleared to London Heathrow via BELEN1G departure, maintain 6000 feet, squawk 2367, QNH 1009, Speedbird 312.",PASS,PASS,PASS,2,FAIL,"La colación no utiliza la fraseología estándar, ya que los números no se leen dígito por dígito y el nombre de la salida se lee como 'BELEN one GOLF'.",,
DEL,del_060,"Vueling seven nine eight, cleared to Barcelona via the NINIX one WHISKEY departure, initial climb five thousand feet, squawk four seven six two, QNH one zero one six, runway three two left.","Cleared to Barcelona via NINIX one WHISKEY, initial climb five thousand, squawk four seven six two, QNH one zero one six, runway three two left, Vueling seven nine eight.","Cleared to Barcelona via NINIX 1W departure, maintain 5000 feet, squawk 4762, QNH 1016, Vueling 798.",PASS,FAIL,PASS,3,FAIL,"La colación omite la pista en uso, que es un elemento obligatorio de la autorización de salida.",,
DEL,del_063,"Aer Lingus nine two one, cleared to Dublin via the BELEN one GOLF departure, initial climb six thousand feet, squawk three four one two, QNH one zero one three, runway three two left.","Cleared to Dublin via BELEN one GOLF, initial climb six thousand, squawk three four one two, QNH one zero one three, runway three two left, Aer Lingus nine two one.","Cleared to Dublin via BELEN1G departure, maintain 6000 feet, squawk 3412, QNH 1013, Aer Lingus 921.",PASS,FAIL,PASS,3,FAIL,"La colación omite la pista asignada, que es un elemento obligatorio de la autorización de salida.",,
DEL,del_067,"TAP four two three, cleared to Porto via the LARPA one FOXTROT departure, initial climb six thousand feet, squawk two seven eight nine, QNH one zero one eight, runway three two left.","Cleared to Porto via LARPA one FOXTROT, initial climb six thousand, squawk two seven eight nine, QNH one zero one eight, runway three two left, TAP four two three.","Cleared to Porto via LARPA1F departure, maintain 6000 feet, squawk 2789, QNH 1018, TAP423.",PASS,FAIL,PASS,3,FAIL,"El collationnement omite la pista asignada, pista tres dos izquierda.",,
DEL,del_069,"Transavia eight nine one, cleared to Rotterdam via the BELEN one GOLF departure, initial climb five thousand feet, squawk one eight seven five, QNH one zero one two, runway three two left.","Cleared BELEN one GOLF, five thousand, squawk one eight seven five, QNH one zero one two, runway three two left, Transavia eight nine one.","Cleared to Rotterdam via BELEN1G departure, maintain 5000 feet, squawk 1875, QNH 1012, Transavia 891.",PASS,FAIL,PASS,3,FAIL,La colación omite la pista obligatoria (tres dos izquierda) y no pronuncia los dígitos individualmente.,,
DEL,del_070,"Santiago Delivery, Volotea seven eight six, stand four two, information Juliet, request clearance to Valencia.","Volotea seven eight six, cleared to Valencia via DVOR one FOXTROT departure, initial climb five thousand feet, squawk three two five six, QNH one zero one seven, runway three two right.","Santiago Delivery, Volotea seven eight six, request clearance to Valencia, information Juliet, Volotea seven eight six.",N/A,N/A,FAIL,1,FAIL,"El agente no realiza una colación, sino que genera una solicitud de autorización inicial que no corresponde a la transmisión del controlador.",,
DEL,del_077,"Wizz Air eight nine one, cleared to Bucharest via the LARPA one FOXTROT departure, initial climb six thousand feet, squawk six seven one two, QNH one zero two zero, runway three two left.","Cleared to Bucharest via LARPA one FOXTROT, initial climb six thousand, squawk six seven one two, QNH one zero two zero, runway three two left, Wizz Air eight nine one.","Cleared to Bucharest via LARPA 1 FOXTROT departure, maintain 6000 feet, squawk 6712, QNH 1020, Wizz Air 891.",PASS,FAIL,PASS,3,FAIL,La colación omite la pista designada (tres dos izquierda).,,
DEL,del_079,"Santiago Delivery, Jet2 four three two, stand one nine, information Mike, request clearance to Birmingham.","Jet2 four three two, cleared to Birmingham via FORNO one FOXTROT departure, initial climb five thousand feet, squawk two five seven eight, QNH one zero one zero, runway three two right.","Santiago Delivery, Jet2 four three two, request clearance to Birmingham, information Mike, stand one nine, Jet2 four three two.",N/A,FAIL,PASS,1,FAIL,"El agente no colacionó la autorización de vuelo, sino que realizó una solicitud de autorización inicial.",,
DEL,del_081,"EasyJet one two Quebec, cleared to Manchester via the FORNO one FOXTROT departure, initial climb six thousand feet, squawk four three two one, QNH one zero one six, runway three two right.","Cleared to Manchester via FORNO one FOXTROT, initial climb six thousand, squawk four three two one, QNH one zero one six, runway three two right, EasyJet one two Quebec.","Cleared to Manchester via FORNO 1F departure, maintain 6000 feet, squawk 4321, QNH 1016, EasyJet 12Q.",PASS,FAIL,PASS,4,FAIL,"La colación omite la pista asignada, que es un elemento obligatorio de la autorización de salida.",,
DEL,del_084,"Vueling six five four, negative, initial climb six thousand feet.","Initial climb six thousand feet, Vueling six five four.","Maintaining 6000 feet, Vueling 654.",PASS,FAIL,PASS,2,FAIL,"La colación usa 'Maintaining' incorrectamente para confirmar una autorización de ascenso, en lugar de 'Initial climb'.",,
DEL,del_087,"Santiago Delivery, Iberia six seven eight, Airbus three twenty at stand four seven, information Juliet, request clearance to Sevilla.","Iberia six seven eight, cleared to Sevilla via LARPA one FOXTROT departure, initial climb five thousand feet, squawk one two three four, QNH one zero one four, runway three two left.","Santiago Delivery, Iberia six seven eight, ready for IFR clearance to Sevilla, Iberia six seven eight.",N/A,N/A,FAIL,1,FAIL,"El agente no respondió a la transmisión sino que inició su propia solicitud de autorización, que es un tipo de mensaje completamente diferente.",,
DEL,del_091,"Santiago Delivery, Norwegian four three two, Boeing seven three eight at stand four one, information Kilo, request IFR clearance to Trondheim, one three zero persons on board.","Norwegian four three two, cleared to Trondheim via NINIX one WHISKEY departure, initial climb six thousand feet, squawk four six two one, QNH one zero one two, runway three two right.","Santiago Delivery, Norwegian four three two, request IFR clearance to Trondheim, Norwegian four three two.",N/A,N/A,FAIL,1,FAIL,"El agente no realizó una colación, sino que emitió una solicitud de autorización completamente fuera de contexto.",,
DEL,del_093,"Air France five five eight, cleared to Marseille via the NINIX one WHISKEY departure, initial climb five thousand feet, squawk six four five three, QNH one zero one one, runway one eight left.","Cleared to Marseille via NINIX one WHISKEY, initial climb five thousand, squawk six four five three, QNH one zero one one, runway one eight left, Air France five five eight.","Cleared to Marseille via NINIX1W departure, maintain 5000 feet, squawk 6453, QNH 1011, Air France 558.",PASS,FAIL,PASS,3,FAIL,"La colación omite la pista asignada (uno ocho izquierda), que es un elemento obligatorio de la autorización de salida.",,
DEL,del_096,"SAS eight three two, cleared to Stockholm via the DVOR one FOXTROT departure, initial climb five thousand feet, squawk four six one two, QNH one zero one four, runway three two right.","Cleared to Stockholm via DVOR one FOXTROT, initial climb five thousand, squawk four six one two, QNH one zero one four, runway three two right, SAS eight three two.","Cleared to Stockholm via the DVOR 1 FOXTROT departure, maintain 5000 feet, squawk 4612, QNH 1014, SAS832.",PASS,FAIL,PASS,3,FAIL,La colación omite la pista en uso (tres dos derecha).,,
DEL,del_098,"LOT two one five, cleared to Warsaw via the RODAS one TANGO departure, initial climb six thousand feet, squawk three nine eight seven, QNH one zero one eight, runway one eight left.","Cleared to Warsaw via RODAS one TANGO, initial climb six thousand, squawk three nine eight seven, QNH one zero one eight, runway one eight left, LOT two one five.","Cleared to Warsaw via RODAS1T departure, maintain 6000 feet, squawk 3987, QNH 1018, LOT215.",PASS,FAIL,PASS,3,FAIL,La colación omite la pista asignada para el despegue (pista uno ocho izquierda).,,
GND,gnd_002,"Ryanair four seven three, taxi to holding point Romeo one via Foxtrot, Juliet, Romeo.","Taxi to holding point Romeo one via Foxtrot, Juliet, Romeo, Ryanair four seven three.","Ryanair four seven three, taxi to holding point runway Romeo one via Foxtrot, Juliet, Romeo.",PASS,PASS,FAIL,3,FAIL,"La colación añade incorrectamente la palabra 'runway' antes del punto de espera, y el indicativo debería ir al final.",,
GND,gnd_004,"Iberia three one Foxtrot two, taxi to holding point Lima two taxiways Alpha, Tango.","Taxi to holding point Lima two via Alpha, Tango, Iberia three one Foxtrot two.","Iberia three one Foxtrot two, taxi to holding point runway Lima two via Alpha, Tango.",FAIL,PASS,FAIL,3,FAIL,El piloto añade incorrectamente la palabra 'runway' al punto de espera y coloca el distintivo de llamada al principio de la colación.,,
GND,gnd_007,"Lufthansa three seven two, taxi to holding point Sierra two via taxiways Golf, Sierra.","Taxi to holding point Sierra two via Golf, Sierra, Lufthansa three seven two.","Lufthansa three seven two, taxi to holding point runway Sierra two via Golf, Sierra.",PASS,PASS,FAIL,2,FAIL,"El agente añadió incorrectamente la palabra 'runway' en la colación, que no formaba parte de la instrucción del controlador.",,
GND,gnd_008,"Speedbird two Delta six, taxi to holding point Romeo two via taxiways Alpha, Bravo, Romeo.","Taxi to holding point Romeo two via Alpha, Bravo, Romeo, Speedbird two Delta six.","Speedbird two Delta six, taxi to holding point runway Romeo two via Alpha, Bravo, Romeo.",FAIL,PASS,FAIL,3,FAIL,El piloto añade incorrectamente la palabra 'runway' al punto de espera y coloca el distintivo de llamada al principio de la colación.,,
GND,gnd_010,"Swiss two four one, taxi to holding point Lima one via taxiways Golf, Alpha, Lima.","Taxi to holding point Lima one via Golf, Alpha, Lima, Swiss two four one.","Swiss 241, taxi to holding point runway Lima 1 via Golf, Alpha, Lima.",FAIL,PASS,FAIL,2,FAIL,"El piloto repitió incorrectamente el punto de espera 'Lima one' como 'runway Lima 1', añadiendo una palabra inexistente, y colocó el distintivo de llamada al principio.",,
GND,gnd_011,"Swiss two four one, give way to the EasyJet crossing left to right, then continue via Lima to holding point Lima one.","Give way to the EasyJet, then continue via Lima to Lima one, Swiss two four one.","Swiss 241, give way to EasyJet crossing left to right, then continue via Lima to holding point Lima one.",PASS,PASS,PASS,2,FAIL,"La fraseología es incorrecta; el distintivo de llamada del piloto debe ir al final de la colación, no al principio.",,
GND,gnd_015,"Vueling one two three, taxi to holding point Lima two via taxiways Hotel, Alpha, Lima.","Taxi to holding point Lima two via Hotel, Alpha, Lima, Vueling one two three.","Vueling 123, taxi to holding point runway Lima 2 via Hotel, Alpha, Lima.",PASS,PASS,FAIL,2,FAIL,La colación añade la palabra 'runway' que no estaba en la instrucción original y coloca el distintivo al principio en lugar de al final.,,
GND,gnd_017,"Iberia three one four two, pushback approved, facing north, tail towards stand Hotel four.","Pushback approved, facing north, tail to Hotel four, Iberia three one four two.","Iberia three one four two, pushback approved facing north.",PASS,FAIL,PASS,3,FAIL,La colación es incompleta al omitir la instrucción de la dirección de la cola y el indicativo está al principio en lugar de al final.,,
GND,gnd_018,"Ryanair four seven three, pushback and start approved, facing west.","Pushback and start approved, facing west, Ryanair four seven three.","Ryanair four seven three, pushback approved facing west, taxiing.",N/A,FAIL,FAIL,2,FAIL,El piloto omitió 'and start' y añadió 'taxiing' sin autorización.,,
GND,gnd_020,"Lufthansa three seven two, pushback and start approved, facing south.","Pushback and start approved, facing south, Lufthansa three seven two.","Lufthansa three seven two, pushback approved facing south, taxi via taxiway routing as instructed, holding short runway.",PASS,FAIL,FAIL,2,FAIL,El piloto colacionó una instrucción de rodaje que no fue emitida y omitió la parte de la autorización de puesta en marcha.,,
GND,gnd_022,"Ryanair six six Golf, hold position, expect taxi in two minutes.","Hold position, Ryanair six six Golf.","Ryanair six six Golf, hold position, expect taxi in two minutes.",N/A,PASS,PASS,2,FAIL,"El agente utilizó fraseología de controlador al repetir la transmisión completa, colocando el indicativo al principio en lugar de al final de la colación.",,
GND,gnd_027,"Ryanair six six Golf, taxi to holding point runway three two right via Bravo, follow the Boeing seven three seven ahead.","Taxi to holding point runway three two right via Bravo, follow the Boeing, Ryanair six six Golf.","Ryanair six six Golf, taxi to holding point runway three two right via Bravo.",PASS,FAIL,PASS,3,FAIL,La colación omitió la instrucción de seguir al Boeing siete tres siete que iba delante.,,
GND,gnd_030,"Speedbird two Delta six, taxi to holding point runway two seven via Bravo, expedite.","Taxi to holding point runway two seven via Bravo, expediting, Speedbird two Delta six.","Speedbird two Delta six, taxi to holding point runway two seven via Bravo.",PASS,FAIL,PASS,3,FAIL,La colación omite la confirmación de la instrucción 'expedite' (acelere).,,
GND,gnd_035,"EasyJet eight Kilo six zero, follow the Ryanair ahead, taxi via Alpha, Sierra to holding point Sierra one.","Follow the Ryanair, taxi via Alpha, Sierra to holding point Sierra one, EasyJet eight Kilo six zero.","EasyJet eight Kilo six zero, taxi to holding point runway Sierra one via Alpha, Sierra.",PASS,FAIL,FAIL,3,FAIL,El collationnement omite la instrucción 'follow the Ryanair' y añade la palabra 'runway' que no estaba en la transmisión.,,
GND,gnd_038,"Ryanair four seven three, standby for pushback, traffic on the apron.","Standing by, Ryanair four seven three.","Ryanair four seven three, standby for pushback.",N/A,N/A,PASS,2,FAIL,"La fraseología es incorrecta: el distintivo de llamada debe ir al principio y la respuesta a una instrucción de 'standby' es 'standing by', no una repetición de la instrucción del controlador.",,
GND,gnd_042,"Lufthansa three seven two, pushback approved, facing east, tail towards taxiway Lima.","Pushback approved, facing east, tail to Lima, Lufthansa three seven two.","Lufthansa three seven two, pushback approved facing east, taxi via Lima.",N/A,FAIL,FAIL,2,FAIL,El piloto inventó una instrucción de rodaje ('taxi via Lima') en lugar de colacionar la orientación del retroceso ('tail towards taxiway Lima').,,
GND,gnd_046,"Vueling one two three, give way to the Embraer on your left, then taxi to holding point Lima one via Hotel, Alpha, Lima.","Give way to the Embraer, then taxi to holding point Lima one via Hotel, Alpha, Lima, Vueling one two three.","Vueling 123, taxi to holding point runway Lima 1 via Hotel, Alpha, Lima.",PASS,FAIL,FAIL,2,FAIL,La colación omite la instrucción de ceder el paso y añade la palabra 'runway' que no fue instruida.,,
GND,gnd_047,"EasyJet eight five six zero, pushback approved, facing west, tail to the south.","Pushback approved, facing west, tail to the south, EasyJet eight five six zero.","EasyJet eight five six zero, pushback approved facing west.",N/A,FAIL,PASS,3,FAIL,La colación omite la restricción 'tail to the south' y coloca el indicativo al principio en lugar de al final.,,
GND,gnd_048,"Speedbird two Delta six, taxi to holding point Romeo one via Bravo, Golf, Romeo, follow the Swiss ahead.","Taxi to holding point Romeo one via Bravo, Golf, Romeo, follow the Swiss, Speedbird two Delta six.","Speedbird two Delta six, taxi to holding point runway Romeo one via Bravo, Golf, Romeo, follow the Swiss ahead.",PASS,PASS,FAIL,2,FAIL,El piloto añadió la palabra 'runway' que no estaba en la instrucción del controlador y colocó el distintivo de llamada al principio de la colación.,,
GND,gnd_050,"Iberia three one four Bravo, pushback and start approved, facing north, tail towards stand Hotel four.","Pushback and start approved, facing north, tail to Hotel four, Iberia three one four Bravo.","Iberia three one four Bravo, pushback approved face north, taxi via stand Hotel four.",N/A,FAIL,FAIL,2,FAIL,El piloto omite la aprobación de arranque y responde con una instrucción de rodaje inventada en lugar de colacionar la dirección de retroceso.,,
GND,gnd_052,"Speedbird three one two, taxi to holding point Romeo one via Foxtrot, Juliet, Romeo.","Taxi to holding point Romeo one via Foxtrot, Juliet, Romeo, Speedbird three one two.","Speedbird three one two, taxi to holding point runway Romeo one via Foxtrot, Juliet, Romeo.",PASS,PASS,FAIL,2,FAIL,El piloto añadió incorrectamente la palabra 'runway' en la colación y colocó el indicativo al principio en lugar de al final.,,
GND,gnd_054,"Iberia eight seven five Charlie, taxi to holding point Lima two via taxiways Alpha, Tango.","Taxi to holding point Lima two via Alpha, Tango, Iberia eight seven five Charlie.","Iberia eight seven five Charlie, taxi to holding point runway Lima two via Alpha, Tango.",PASS,PASS,FAIL,2,FAIL,El piloto añade la palabra 'runway' que no estaba en la instrucción y coloca el indicativo al principio de la colación en lugar de al final.,,
GND,gnd_057,"Lufthansa two one eight, taxi to holding point Sierra two via taxiways Golf, Sierra.","Taxi to holding point Sierra two via Golf, Sierra, Lufthansa two one eight.","Lufthansa two one eight, taxi to holding point runway Sierra two via Golf, Sierra.",FAIL,PASS,FAIL,2,FAIL,La colación añade incorrectamente la palabra 'runway' antes del punto de espera Sierra Two y sitúa el distintivo de llamada al principio en lugar de al final.,,
GND,gnd_058,"Speedbird three Alpha two, taxi to holding point Romeo two via taxiways Alpha, Bravo, Romeo.","Taxi to holding point Romeo two via Alpha, Bravo, Romeo, Speedbird three Alpha two.","Speedbird three Alpha two, taxi to holding point runway Romeo two via Alpha, Bravo, Romeo.",FAIL,PASS,FAIL,3,FAIL,"La colación añade incorrectamente la palabra 'runway' antes del punto de espera, que no estaba en la instrucción original.",,
GND,gnd_061,"Swiss five six seven, give way to the Vueling crossing left to right, then continue via Lima to holding point Lima one.","Give way to the Vueling, then continue via Lima to Lima one, Swiss five six seven.","Swiss five six seven, give way to the Vueling crossing left to right, taxi via Lima to holding point Lima one.",PASS,PASS,PASS,2,FAIL,"La llamada debe ir al final de la colación, no al principio, y se repite información superflua de la instrucción condicional.",,
GND,gnd_065,"Vueling seven nine eight, taxi to holding point Lima two via taxiways Hotel, Alpha, Lima.","Taxi to holding point Lima two via Hotel, Alpha, Lima, Vueling seven nine eight.","Vueling seven nine eight, taxi to holding point runway Lima two via Hotel, Alpha, Lima.",PASS,PASS,FAIL,3,FAIL,La colación añade la palabra 'runway' que no fue instruida por el controlador.,,
GND,gnd_067,"Iberia eight seven five Charlie, pushback approved, facing south, tail towards stand Hotel five.","Pushback approved, facing south, tail to Hotel five, Iberia eight seven five Charlie.","Iberia eight seven five Charlie, pushback approved facing south.",N/A,FAIL,PASS,3,FAIL,El collationnement omite la instrucción de posición de la cola 'tail towards stand Hotel five'.,,
GND,gnd_068,"Ryanair eight nine two, pushback and start approved, facing east.","Pushback and start approved, facing east, Ryanair eight nine two.","Ryanair eight nine two, pushback approved facing east.",N/A,FAIL,PASS,3,FAIL,La colación omite la aprobación para la puesta en marcha de motores ('and start') y coloca el distintivo de llamada al principio en lugar de al final.,,
GND,gnd_070,"Lufthansa two one eight, pushback and start approved, facing north.","Pushback and start approved, facing north, Lufthansa two one eight.","Lufthansa two one eight, pushback approved facing north.",N/A,FAIL,PASS,3,FAIL,La colación omite la aprobación de puesta en marcha ('and start') y coloca el distintivo de llamada al principio en lugar de al final.,,
GND,gnd_080,"Speedbird three Alpha two, taxi to holding point runway two seven via Bravo, expedite.","Taxi to holding point runway two seven via Bravo, expediting, Speedbird three Alpha two.","Speedbird three Alpha two, taxi to holding point runway two seven via Bravo.",PASS,FAIL,PASS,3,FAIL,La colación omite la instrucción condicional 'expedite' (acelere).,,
GND,gnd_085,"EasyJet four three two Yankee, follow the Iberia ahead, taxi via Alpha, Sierra to holding point Sierra one.","Follow the Iberia, taxi via Alpha, Sierra to holding point Sierra one, EasyJet four three two Yankee.","EasyJet four three two Yankee, taxi via Alpha, Sierra to holding point Sierra one.",PASS,FAIL,PASS,3,FAIL,La colación omite la instrucción de seguir al Iberia que le precede y coloca el distintivo al principio en lugar de al final.,,
GND,gnd_087,"Lufthansa two one eight, continue taxi via Golf to holding point Sierra two.","Continue taxi via Golf to holding point Sierra two, Lufthansa two one eight.","Lufthansa two one eight, taxi to holding point runway via Golf, Sierra two.",PASS,PASS,FAIL,2,FAIL,La colación añade la palabra 'runway' que no estaba en la instrucción y coloca el indicativo al principio en lugar de al final.,,
GND,gnd_088,"Ryanair eight nine two, standby for pushback, traffic on the apron.","Standing by, Ryanair eight nine two.","Ryanair eight nine two, standby for pushback.",N/A,N/A,PASS,2,FAIL,El agente utilizó fraseología de controlador al colocar el indicativo al principio y repetir la instrucción en lugar de utilizar una colación estándar de piloto.,,
