audio_id,dep,wav,audio_dur_s,ref,context_mode,raw_transcription,final_transcription,duration_s,latency_client_s,wer_raw,sub_raw,del_raw,ins_raw,n_ref,wer_post,rtf,cost_per_transcription,http_status,error,model,tier,cost_per_h
del_011,del,del_011.wav,,"Ryanair six six Golf, cleared to Palma de Mallorca via the DVOR one FOXTROT departure, initial climb five thousand feet, squawk three three two one, QNH one zero one three, runway three two right.",generic,,,31.757,,4.677,27,0,131,34,4.677,,0.001852,200,,tiny,c2,0.21
del_012,del,del_012.wav,,"Lufthansa three seven two, readback correct. Contact Ground when ready on one two one decimal six. Good day.",generic,,,23.611,,4.677,14,0,69,18,4.677,,0.001377,200,,tiny,c2,0.21
del_013,del,del_013.wav,,"Aer Lingus seven eight five, cleared to Dublin via the BELEN one GOLF departure, initial climb five thousand feet, squawk one four two three, QNH one zero one four, runway three two left.",generic,,,29.962,,4.677,27,0,128,33,4.677,,0.001748,200,,tiny,c2,0.21
del_014,del,del_014.wav,,"Aer Lingus seven eight five, readback correct. Contact Ground on one two one decimal six five five when ready.",generic,,,19.124,,4.677,15,0,73,19,4.677,,0.001116,200,,tiny,c2,0.21
del_015,del,del_015.wav,,"Norwegian three four two, cleared to Oslo via the NINIX one WHISKEY departure, initial climb six thousand feet, squawk three one two four, QNH one zero one six, runway three two right.",generic,,,26.964,,4.677,26,0,124,32,4.677,,0.001573,200,,tiny,c2,0.21
del_016,del,del_016.wav,,"Norwegian three four two, negative, initial climb six thousand feet.",generic,,,17.12,,4.677,8,0,39,10,4.677,,0.000999,200,,tiny,c2,0.21
del_017,del,del_017.wav,,"TAP nine one one, cleared to Lisbon via the LARPA one FOXTROT departure, initial climb five thousand feet, squawk four three two one, QNH one zero one two, runway three two left.",generic,,,28.109,,4.677,26,0,124,32,4.677,,0.00164,200,,tiny,c2,0.21
del_018,del,del_018.wav,,"TAP nine one one, readback correct. Contact Ground when ready on one two one decimal six.",generic,,,18.533,,4.677,13,0,62,16,4.677,,0.001081,200,,tiny,c2,0.21
del_019,del,del_019.wav,,"Transavia five six zero, cleared to Amsterdam via the BELEN one GOLF departure, initial climb five thousand feet, squawk two four one three, QNH one zero one three, runway three two left.",generic,,,28.903,,4.677,26,0,124,32,4.677,,0.001686,200,,tiny,c2,0.21
del_020,del,del_020.wav,,"Santiago Delivery, Volotea four five one, stand three three, information Charlie, request clearance to Bilbao.",generic,,,18.342,,4.677,12,0,58,15,4.677,,0.00107,200,,tiny,c2,0.21
gnd_001,gnd,gnd_001.wav,,"Ryanair four seven three, pushback approved, facing east.",generic,,,16.498,,7.4148,6,0,53,8,7.4148,,0.000962,200,,tiny,c2,0.21
gnd_002,gnd,gnd_002.wav,,"Ryanair four seven three, taxi to holding point Romeo one via Foxtrot, Juliet, Romeo.",generic,,,20.477,,7.4148,10,0,94,14,7.4148,,0.001194,200,,tiny,c2,0.21
gnd_003,gnd,gnd_003.wav,,"Iberia three one four two, pushback approved, facing west.",generic,,,16.05,,7.4148,7,0,60,9,7.4148,,0.000936,200,,tiny,c2,0.21
gnd_004,gnd,gnd_004.wav,,"Iberia three one Foxtrot two, taxi to holding point Lima two taxiways Alpha, Tango.",generic,,,21.217,,7.4148,10,0,94,14,7.4148,,0.001238,200,,tiny,c2,0.21
gnd_005,gnd,gnd_005.wav,,"Iberia three one Foxtrot two, hold short of runway three two left.",generic,,,19.865,,7.4148,9,0,80,12,7.4148,,0.001159,200,,tiny,c2,0.21
gnd_006,gnd,gnd_006.wav,,"Lufthansa three seven two, pushback approved, facing south. Caution vehicles on the apron.",generic,,,19.406,,7.4148,10,0,87,13,7.4148,,0.001132,200,,tiny,c2,0.21
gnd_007,gnd,gnd_007.wav,,"Lufthansa three seven two, taxi to holding point Sierra two via taxiways Golf, Sierra.",generic,,,21.526,,7.4148,10,0,93,14,7.4148,,0.001256,200,,tiny,c2,0.21
gnd_008,gnd,gnd_008.wav,,"Speedbird two Delta six, taxi to holding point Romeo two via taxiways Alpha, Bravo, Romeo.",generic,,,21.498,,7.4148,11,0,100,15,7.4148,,0.001254,200,,tiny,c2,0.21
gnd_009,gnd,gnd_009.wav,,"Speedbird two four six, taxi to stand Foxtrot one five via taxiways Romeo, Alpha, Foxtrot.",generic,,,19.452,,7.4148,11,0,100,15,7.4148,,0.001135,200,,tiny,c2,0.21
gnd_010,gnd,gnd_010.wav,,"Swiss two four one, taxi to holding point Lima one via taxiways Golf, Alpha, Lima.",generic,,,19.135,,7.4148,11,0,100,15,7.4148,,0.001116,200,,tiny,c2,0.21
gnd_011,gnd,gnd_011.wav,,"Swiss two four one, give way to the EasyJet crossing left to right, then continue via Lima to holding point Lima one.",generic,,,23.769,,7.4148,16,0,147,22,7.4148,,0.001387,200,,tiny,c2,0.21
gnd_012,gnd,gnd_012.wav,,"EasyJet eight five six zero, pushback approved, facing west.",generic,,,16.337,,7.4148,7,0,60,9,7.4148,,0.000953,200,,tiny,c2,0.21
gnd_013,gnd,gnd_013.wav,,"EasyJet eight Kilo six zero, taxi to holding point Sierra one via taxiways Foxtrot, Alpha, Sierra.",generic,,,23.481,,7.4148,12,0,107,16,7.4148,,0.00137,200,,tiny,c2,0.21
gnd_014,gnd,gnd_014.wav,,"Vueling one two three, taxi to stand Hotel two via taxiways Romeo, Alpha, Hotel.",generic,,,19.27,,7.4148,10,0,93,14,7.4148,,0.001124,200,,tiny,c2,0.21
gnd_015,gnd,gnd_015.wav,,"Vueling one two three, taxi to holding point Lima two via taxiways Hotel, Alpha, Lima.",generic,,,22.078,,7.4148,11,0,100,15,7.4148,,0.001288,200,,tiny,c2,0.21
gnd_016,gnd,gnd_016.wav,,"Ryanair four seven three, hold short of runway three two left, landing traffic on final.",generic,,,19.882,,7.4148,11,0,100,15,7.4148,,0.00116,200,,tiny,c2,0.21
gnd_017,gnd,gnd_017.wav,,"Iberia three one four two, pushback approved, facing north, tail towards stand Hotel four.",generic,,,20.549,,7.4148,10,0,93,14,7.4148,,0.001199,200,,tiny,c2,0.21
gnd_018,gnd,gnd_018.wav,,"Ryanair four seven three, pushback and start approved, facing west.",generic,,,16.348,,7.4148,8,0,67,10,7.4148,,0.000954,200,,tiny,c2,0.21
gnd_019,gnd,gnd_019.wav,,"Iberia three one four Bravo, taxi to holding point runway three two left via Alpha, Bravo.",generic,,,20.354,,7.4148,12,0,107,16,7.4148,,0.001187,200,,tiny,c2,0.21
gnd_020,gnd,gnd_020.wav,,"Lufthansa three seven two, pushback and start approved, facing south.",generic,,,18.624,,7.4148,8,0,67,10,7.4148,,0.001086,200,,tiny,c2,0.21
twr_001,twr,twr_001.wav,,"Ryanair four seven three, runway three two left, line up and wait.",generic,,,17.387,,7.7309,9,0,84,12,7.7309,,0.001014,200,,tiny,c2,0.21
twr_002,twr,twr_002.wav,,"Ryanair four seven Bravo, wind calm, runway three two left, cleared for takeoff.",generic,,,18.127,,7.7309,9,0,91,13,7.7309,,0.001057,200,,tiny,c2,0.21
twr_003,twr,twr_003.wav,,"Ryanair four seven three, contact Madrid Departure on one two one decimal niner.",generic,,,19.126,,7.7309,9,0,91,13,7.7309,,0.001116,200,,tiny,c2,0.21
twr_004,twr,twr_004.wav,,"Iberia three one four two, behind the Swiss on short final, runway three two left, line up and wait behind.",generic,,,19.77,,7.7309,14,0,141,20,7.7309,,0.001153,200,,tiny,c2,0.21
twr_005,twr,twr_005.wav,,"Iberia three one four two, wind three zero zero degrees, eight knots, runway three two left, cleared for takeoff.",generic,,,23.411,,7.7309,13,0,134,19,7.7309,,0.001366,200,,tiny,c2,0.21
twr_006,twr,twr_006.wav,,"Lufthansa three seven two, runway one eight left, line up and wait.",generic,,,18.511,,7.7309,8,0,84,12,7.7309,,0.00108,200,,tiny,c2,0.21
twr_007,twr,twr_007.wav,,"Lufthansa three seven two, wind one seven zero degrees, one five knots, runway one eight left, cleared for takeoff.",generic,,,19.865,,7.7309,13,0,134,19,7.7309,,0.001159,200,,tiny,c2,0.21
twr_008,twr,twr_008.wav,,"Lufthansa four five one, wind three two zero degrees, one zero knots, runway three two right, cleared to land.",generic,,,22.039,,7.7309,13,0,134,19,7.7309,,0.001286,200,,tiny,c2,0.21
twr_009,twr,twr_009.wav,,"Speedbird two Alpha six, wind three one zero degrees, one two knots, runway three two left, cleared to land.",generic,,,20.975,,7.7309,13,0,134,19,7.7309,,0.001224,200,,tiny,c2,0.21
twr_010,twr,twr_010.wav,,"Speedbird two four six, contact Ground on one two one decimal six five five. Good day.",generic,,,18.763,,7.7309,11,0,113,16,7.7309,,0.001095,200,,tiny,c2,0.21
twr_011,twr,twr_011.wav,,"Swiss two four one, runway three two right, line up and wait.",generic,,,18.931,,7.7309,8,0,84,12,7.7309,,0.001104,200,,tiny,c2,0.21
twr_012,twr,twr_012.wav,,"Swiss two four one, wind three zero five degrees, one four knots, runway three two right, cleared for takeoff.",generic,,,19.743,,7.7309,13,0,134,19,7.7309,,0.001152,200,,tiny,c2,0.21
twr_013,twr,twr_013.wav,,"Swiss three six two, wind three zero zero degrees, eight knots, runway three two left, cleared to land.",generic,,,20.969,,7.7309,13,0,127,18,7.7309,,0.001223,200,,tiny,c2,0.21
twr_014,twr,twr_014.wav,,"EasyJet eight Tango six zero, runway one eight right, line up and wait.",generic,,,18.268,,7.7309,9,0,91,13,7.7309,,0.001066,200,,tiny,c2,0.21
twr_015,twr,twr_015.wav,,"EasyJet eight Tango six zero, wind one eight zero degrees, two zero knots, runway one eight right, cleared for takeoff.",generic,,,21.159,,7.7309,14,0,141,20,7.7309,,0.001234,200,,tiny,c2,0.21
twr_016,twr,twr_016.wav,,"Vueling four five six, go around.",generic,,,15.083,,7.7309,4,0,42,6,7.7309,,0.00088,200,,tiny,c2,0.21
twr_017,twr,twr_017.wav,,"Ryanair four seven three, hold position, number two.",generic,,,15.693,,7.7309,6,0,56,8,7.7309,,0.000915,200,,tiny,c2,0.21
twr_018,twr,twr_018.wav,,"Vueling one two three, continue approach, number two following Boeing seven three seven on final.",generic,,,17.936,,7.7309,11,0,105,15,7.7309,,0.001046,200,,tiny,c2,0.21
twr_019,twr,twr_019.wav,,"Vueling one two three, wind three one zero degrees six knots, runway three two left, cleared to land.",generic,,,20.745,,7.7309,13,0,127,18,7.7309,,0.00121,200,,tiny,c2,0.21
twr_020,twr,twr_020.wav,,"EasyJet eight five Whiskey zero, go around, traffic on runway.",generic,,,18.91,,7.7309,7,0,70,10,7.7309,,0.001103,200,,tiny,c2,0.21
