audio_id,dep,wav,audio_dur_s,ref,context_mode,raw_transcription,final_transcription,duration_s,latency_client_s,wer_raw,sub_raw,del_raw,ins_raw,n_ref,wer_post,rtf,cost_per_transcription,http_status,error,model,tier,cost_per_h
del_013,del,del_013.wav,14.42,"Aer Lingus seven eight five, cleared to Dublin via the BELEN one GOLF departure, initial climb five thousand feet, squawk one four two three, QNH one zero one four, runway three two left.",generic,,,89.886,,0.1818,4,1,1,33,0.1818,6.23,0.005243,200,,medium,c2,0.21
del_014,del,del_014.wav,8.19,"Aer Lingus seven eight five, readback correct. Contact Ground on one two one decimal six five five when ready.",generic,,,57.371,,0.2632,4,1,1,19,0.2632,7.01,0.003347,200,,medium,c2,0.21
del_015,del,del_015.wav,14.42,"Norwegian three four two, cleared to Oslo via the NINIX one WHISKEY departure, initial climb six thousand feet, squawk three one two four, QNH one zero one six, runway three two right.",generic,,,80.891,,0.1562,3,1,0,32,0.1562,5.61,0.004719,200,,medium,c2,0.21
del_016,del,del_016.wav,5.55,"Norwegian three four two, negative, initial climb six thousand feet.",generic,,,51.361,,0.1,1,0,0,10,0.1,9.25,0.002996,200,,medium,c2,0.21
del_017,del,del_017.wav,13.23,"TAP nine one one, cleared to Lisbon via the LARPA one FOXTROT departure, initial climb five thousand feet, squawk four three two one, QNH one zero one two, runway three two left.",generic,,,84.326,,0.0625,1,1,0,32,0.0625,6.37,0.004919,200,,medium,c2,0.21
del_018,del,del_018.wav,6.74,"TAP nine one one, readback correct. Contact Ground when ready on one two one decimal six.",generic,,,55.599,,0.0625,1,0,0,16,0.0625,8.25,0.003243,200,,medium,c2,0.21
del_019,del,del_019.wav,13.23,"Transavia five six zero, cleared to Amsterdam via the BELEN one GOLF departure, initial climb five thousand feet, squawk two four one three, QNH one zero one three, runway three two left.",generic,,,86.71,,0.0625,1,0,0,32,0.0625,6.55,0.005058,200,,medium,c2,0.21
del_020,del,del_020.wav,11.78,"Santiago Delivery, Volotea four five one, stand three three, information Charlie, request clearance to Bilbao.",generic,,,55.025,,0.2,2,1,0,15,0.2,4.67,0.00321,200,,medium,c2,0.21
gnd_001,gnd,gnd_001.wav,3.84,"Ryanair four seven three, pushback approved, facing east.",generic,,,49.493,,0.25,1,1,1,8,0.25,12.89,0.002887,200,,medium,c2,0.21
gnd_002,gnd,gnd_002.wav,5.63,"Ryanair four seven three, taxi to holding point Romeo one via Foxtrot, Juliet, Romeo.",generic,,,61.432,,0.0714,0,0,0,14,0.0714,10.91,0.003584,200,,medium,c2,0.21
gnd_003,gnd,gnd_003.wav,4.1,"Iberia three one four two, pushback approved, facing west.",generic,,,48.151,,0.2222,1,1,1,9,0.2222,11.74,0.002809,200,,medium,c2,0.21
gnd_004,gnd,gnd_004.wav,5.38,"Iberia three one Foxtrot two, taxi to holding point Lima two taxiways Alpha, Tango.",generic,,,63.652,,0.2143,1,1,1,14,0.2143,11.83,0.003713,200,,medium,c2,0.21
gnd_005,gnd,gnd_005.wav,5.29,"Iberia three one Foxtrot two, hold short of runway three two left.",generic,,,59.594,,0.0,0,0,0,12,0.0,11.27,0.003476,200,,medium,c2,0.21
gnd_006,gnd,gnd_006.wav,5.46,"Lufthansa three seven two, pushback approved, facing south. Caution vehicles on the apron.",generic,,,58.218,,0.3077,2,1,1,13,0.3077,10.66,0.003396,200,,medium,c2,0.21
gnd_007,gnd,gnd_007.wav,5.29,"Lufthansa three seven two, taxi to holding point Sierra two via taxiways Golf, Sierra.",generic,,,64.579,,0.0714,0,0,0,14,0.0714,12.21,0.003767,200,,medium,c2,0.21
gnd_008,gnd,gnd_008.wav,7.25,"Speedbird two Delta six, taxi to holding point Romeo two via taxiways Alpha, Bravo, Romeo.",generic,,,64.495,,0.0667,1,0,0,15,0.0667,8.9,0.003762,200,,medium,c2,0.21
gnd_009,gnd,gnd_009.wav,7.0,"Speedbird two four six, taxi to stand Foxtrot one five via taxiways Romeo, Alpha, Foxtrot.",generic,,,58.356,,0.1333,1,1,0,15,0.1333,8.34,0.003404,200,,medium,c2,0.21
gnd_010,gnd,gnd_010.wav,7.0,"Swiss two four one, taxi to holding point Lima one via taxiways Golf, Alpha, Lima.",generic,,,57.405,,0.0667,1,0,0,15,0.0667,8.2,0.003349,200,,medium,c2,0.21
gnd_011,gnd,gnd_011.wav,8.36,"Swiss two four one, give way to the EasyJet crossing left to right, then continue via Lima to holding point Lima one.",generic,,,71.306,,0.0455,1,0,0,22,0.0455,8.53,0.00416,200,,medium,c2,0.21
gnd_012,gnd,gnd_012.wav,5.21,"EasyJet eight five six zero, pushback approved, facing west.",generic,,,49.011,,0.2222,1,1,1,9,0.2222,9.41,0.002859,200,,medium,c2,0.21
gnd_013,gnd,gnd_013.wav,7.42,"EasyJet eight Kilo six zero, taxi to holding point Sierra one via taxiways Foxtrot, Alpha, Sierra.",generic,,,70.443,,0.0625,1,0,0,16,0.0625,9.49,0.004109,200,,medium,c2,0.21
gnd_014,gnd,gnd_014.wav,6.49,"Vueling one two three, taxi to stand Hotel two via taxiways Romeo, Alpha, Hotel.",generic,,,57.81,,0.0714,0,0,0,14,0.0714,8.91,0.003372,200,,medium,c2,0.21
gnd_015,gnd,gnd_015.wav,5.12,"Vueling one two three, taxi to holding point Lima two via taxiways Hotel, Alpha, Lima.",generic,,,66.235,,0.1333,1,1,0,15,0.1333,12.94,0.003864,200,,medium,c2,0.21
gnd_016,gnd,gnd_016.wav,5.29,"Ryanair four seven three, hold short of runway three two left, landing traffic on final.",generic,,,59.645,,0.0,0,0,0,15,0.0,11.28,0.003479,200,,medium,c2,0.21
gnd_017,gnd,gnd_017.wav,7.42,"Iberia three one four two, pushback approved, facing north, tail towards stand Hotel four.",generic,,,61.646,,0.2857,2,1,1,14,0.2857,8.31,0.003596,200,,medium,c2,0.21
gnd_018,gnd,gnd_018.wav,4.35,"Ryanair four seven three, pushback and start approved, facing west.",generic,,,49.043,,0.2,1,1,1,10,0.2,11.27,0.002861,200,,medium,c2,0.21
gnd_019,gnd,gnd_019.wav,5.72,"Iberia three one four Bravo, taxi to holding point runway three two left via Alpha, Bravo.",generic,,,61.063,,0.0,0,0,0,16,0.0,10.68,0.003562,200,,medium,c2,0.21
gnd_020,gnd,gnd_020.wav,5.46,"Lufthansa three seven two, pushback and start approved, facing south.",generic,,,55.872,,0.5,2,1,1,10,0.5,10.23,0.003259,200,,medium,c2,0.21
twr_001,twr,twr_001.wav,5.03,"Ryanair four seven three, runway three two left, line up and wait.",generic,,,52.16,,0.0,0,0,0,12,0.0,10.37,0.003043,200,,medium,c2,0.21
twr_002,twr,twr_002.wav,4.86,"Ryanair four seven Bravo, wind calm, runway three two left, cleared for takeoff.",generic,,,54.38,,0.1538,1,0,1,13,0.1538,11.19,0.003172,200,,medium,c2,0.21
twr_003,twr,twr_003.wav,6.14,"Ryanair four seven three, contact Madrid Departure on one two one decimal niner.",generic,,,57.379,,0.0769,1,0,0,13,0.0769,9.35,0.003347,200,,medium,c2,0.21
twr_004,twr,twr_004.wav,8.11,"Iberia three one four two, behind the Swiss on short final, runway three two left, line up and wait behind.",generic,,,59.31,,0.0,0,0,0,20,0.0,7.31,0.00346,200,,medium,c2,0.21
twr_005,twr,twr_005.wav,9.39,"Iberia three one four two, wind three zero zero degrees, eight knots, runway three two left, cleared for takeoff.",generic,,,70.233,,0.0,0,0,0,19,0.0,7.48,0.004097,200,,medium,c2,0.21
twr_006,twr,twr_006.wav,4.95,"Lufthansa three seven two, runway one eight left, line up and wait.",generic,,,55.532,,0.0,0,0,0,12,0.0,11.22,0.003239,200,,medium,c2,0.21
twr_007,twr,twr_007.wav,8.02,"Lufthansa three seven two, wind one seven zero degrees, one five knots, runway one eight left, cleared for takeoff.",generic,,,59.595,,0.0,0,0,0,19,0.0,7.43,0.003476,200,,medium,c2,0.21
twr_008,twr,twr_008.wav,8.7,"Lufthansa four five one, wind three two zero degrees, one zero knots, runway three two right, cleared to land.",generic,,,66.117,,0.0,0,0,0,19,0.0,7.6,0.003857,200,,medium,c2,0.21
twr_009,twr,twr_009.wav,7.68,"Speedbird two Alpha six, wind three one zero degrees, one two knots, runway three two left, cleared to land.",generic,,,62.926,,0.0,0,0,0,19,0.0,8.19,0.003671,200,,medium,c2,0.21
twr_010,twr,twr_010.wav,7.51,"Speedbird two four six, contact Ground on one two one decimal six five five. Good day.",generic,,,56.29,,0.0,0,0,0,16,0.0,7.5,0.003284,200,,medium,c2,0.21
twr_011,twr,twr_011.wav,3.84,"Swiss two four one, runway three two right, line up and wait.",generic,,,56.794,,0.0,0,0,0,12,0.0,14.79,0.003313,200,,medium,c2,0.21
twr_012,twr,twr_012.wav,8.02,"Swiss two four one, wind three zero five degrees, one four knots, runway three two right, cleared for takeoff.",generic,,,59.228,,0.0,0,0,0,19,0.0,7.39,0.003455,200,,medium,c2,0.21
twr_013,twr,twr_013.wav,7.85,"Swiss three six two, wind three zero zero degrees, eight knots, runway three two left, cleared to land.",generic,,,62.907,,0.0,0,0,0,18,0.0,8.01,0.00367,200,,medium,c2,0.21
twr_014,twr,twr_014.wav,4.52,"EasyJet eight Tango six zero, runway one eight right, line up and wait.",generic,,,54.804,,0.0,0,0,0,13,0.0,12.12,0.003197,200,,medium,c2,0.21
twr_015,twr,twr_015.wav,7.34,"EasyJet eight Tango six zero, wind one eight zero degrees, two zero knots, runway one eight right, cleared for takeoff.",generic,,,63.478,,0.0,0,0,0,20,0.0,8.65,0.003703,200,,medium,c2,0.21
twr_016,twr,twr_016.wav,3.24,"Vueling four five six, go around.",generic,,,45.25,,0.0,0,0,0,6,0.0,13.97,0.00264,200,,medium,c2,0.21
twr_017,twr,twr_017.wav,3.5,"Ryanair four seven three, hold position, number two.",generic,,,47.079,,0.0,0,0,0,8,0.0,13.45,0.002746,200,,medium,c2,0.21
twr_018,twr,twr_018.wav,5.97,"Vueling one two three, continue approach, number two following Boeing seven three seven on final.",generic,,,53.809,,0.0667,1,0,0,15,0.0667,9.01,0.003139,200,,medium,c2,0.21
twr_019,twr,twr_019.wav,6.66,"Vueling one two three, wind three one zero degrees six knots, runway three two left, cleared to land.",generic,,,62.234,,0.0,0,0,0,18,0.0,9.34,0.00363,200,,medium,c2,0.21
twr_020,twr,twr_020.wav,3.93,"EasyJet eight five Whiskey zero, go around, traffic on runway.",generic,,,56.73,,0.0,0,0,0,10,0.0,14.44,0.003309,200,,medium,c2,0.21
